Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Paulus M.P., Huys Q.J.M., Maia T.V.","7103254393;14056255700;6603501873;","A Roadmap for the Development of Applied Computational Psychiatry",2016,"Biological Psychiatry: Cognitive Neuroscience and Neuroimaging","1","5",,"386","392",,17,"10.1016/j.bpsc.2016.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995579306&doi=10.1016%2fj.bpsc.2016.05.001&partnerID=40&md5=b62dd7e9c15073a75a3409f7f1f72fe5","Laureate Institute for Brain Research, Tulsa, Oklahoma, United States; Department of Psychiatry, University of California San Diego, La Jolla, California, United States; Translational Neuromodeling Unit, Institute for Biomedical Engineering, University of Zurich and Swiss Federal Institute of Technology, Zurich, Switzerland; Centre for Addictive Disorders, Department of Psychiatry, Psychotherapy and Psychosomatics, Hospital of Psychiatry, University of Zurich, Zurich, Switzerland; the Institute for Molecular Medicine, School of Medicine, University of Lisbon, Lisbon, Portugal","Paulus, M.P., Laureate Institute for Brain Research, Tulsa, Oklahoma, United States, Department of Psychiatry, University of California San Diego, La Jolla, California, United States; Huys, Q.J.M., Translational Neuromodeling Unit, Institute for Biomedical Engineering, University of Zurich and Swiss Federal Institute of Technology, Zurich, Switzerland, Centre for Addictive Disorders, Department of Psychiatry, Psychotherapy and Psychosomatics, Hospital of Psychiatry, University of Zurich, Zurich, Switzerland; Maia, T.V., the Institute for Molecular Medicine, School of Medicine, University of Lisbon, Lisbon, Portugal","Computational psychiatry (CP) is a burgeoning field that uses mathematical approaches to investigate psychiatric disorders, derive quantitative predictions, and integrate data across multiple levels of description. CP has already led to many new insights into the neurobehavioral mechanisms that underlie several psychiatric disorders, but its usefulness from a clinical standpoint is only now starting to be considered. Examples of CP are highlighted, and a phase-based pipeline for the development of clinical computational–psychiatry applications is proposed, similar to the phase-based pipeline used in drug development. We propose that each phase has unique endpoints and deliverables that will be important milestones to move tasks, procedures, computational models, and algorithms from the laboratory to clinical practice. Application of computational approaches should be tested on healthy volunteers in phase I, transitioned to target populations in phases IB and IIA, and thoroughly evaluated using randomized clinical trials in phases IIB and III. Successful completion of these phases should be the basis of determining whether computational models are useful tools for prognosis, diagnosis, or treatment of psychiatric patients. A new type of infrastructure will be necessary to implement the proposed pipeline. This infrastructure should consist of groups of investigators with diverse backgrounds collaborating to make CP relevant for the clinic. © 2016 Society of Biological Psychiatry","Biomarkers; Computational psychiatry; Development pipelines; Machine learning; Prediction; Translational psychiatry",Review,"Final",,Scopus,2-s2.0-84995579306
"Banks G.C., Rogelberg S.G., Woznyj H.M., Landis R.S., Rupp D.E.","36020086900;6701498798;57189992424;7006257097;7003506186;","Editorial: Evidence on Questionable Research Practices: The Good, the Bad, and the Ugly",2016,"Journal of Business and Psychology","31","3",,"323","338",,20,"10.1007/s10869-016-9456-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976333395&doi=10.1007%2fs10869-016-9456-7&partnerID=40&md5=18c4b9aec11534807f8e72b629861fff","University of North Carolina at Charlotte, Belk College of Business, 9201 University City Blvd, Charlotte, NC  28223, United States; Illinois Institute of Technology, Chicago, United States; Purdue University, West Lafayette, IN, United States; University of the Western Cape, Bellville, Cape Town, South Africa","Banks, G.C., University of North Carolina at Charlotte, Belk College of Business, 9201 University City Blvd, Charlotte, NC  28223, United States; Rogelberg, S.G., University of North Carolina at Charlotte, Belk College of Business, 9201 University City Blvd, Charlotte, NC  28223, United States; Woznyj, H.M., University of North Carolina at Charlotte, Belk College of Business, 9201 University City Blvd, Charlotte, NC  28223, United States; Landis, R.S., Illinois Institute of Technology, Chicago, United States; Rupp, D.E., Purdue University, West Lafayette, IN, United States, University of the Western Cape, Bellville, Cape Town, South Africa","Purpose: Questionable research or reporting practices (QRPs) contribute to a growing concern regarding the credibility of research in the organizational sciences and related fields. Such practices include design, analytic, or reporting practices that may introduce biased evidence, which can have harmful implications for evidence-based practice, theory development, and perceptions of the rigor of science. Design/Methodology/Approach: To assess the extent to which QRPs are actually a concern, we conducted a systematic review to consider the evidence on QRPs. Using a triangulation approach (e.g., by reviewing data from observations, sensitivity analyses, and surveys), we identified the good, the bad, and the ugly. Findings: Of the 64 studies that fit our criteria, 6 appeared to find little to no evidence of engagement in QRPs and the other 58 found more severe evidence (91 %). Implications: Drawing upon the findings, we provide recommendations for future research related to publication practices and academic training. Originality/value: We report findings from studies that suggest that QRPs are not a problem, that QRPs are used at a suboptimal rate, and that QRPs present a threat to the viability of organizational science research. © 2016, Springer Science+Business Media New York.","Ethics; Philosophy of science; Questionable research practices QRPs; Research methodology; Research methods",Editorial,"Final",Open Access,Scopus,2-s2.0-84976333395
"Miller J., Ulrich R.","55497741400;7201561857;","Optimizing Research Payoff",2016,"Perspectives on Psychological Science","11","5",,"664","691",,13,"10.1177/1745691616649170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989260014&doi=10.1177%2f1745691616649170&partnerID=40&md5=b06bf3c2827da6b9961f23dfe3d71535","University of Otago, New Zealand; University of Tübingen, Germany","Miller, J., University of Otago, New Zealand; Ulrich, R., University of Tübingen, Germany","In this article, we present a model for determining how total research payoff depends on researchers’ choices of sample sizes, α levels, and other parameters of the research process. The model can be used to quantify various trade-offs inherent in the research process and thus to balance competing goals, such as (a) maximizing both the number of studies carried out and also the statistical power of each study, (b) minimizing the rates of both false positive and false negative findings, and (c) maximizing both replicability and research efficiency. Given certain necessary information about a research area, the model can be used to determine the optimal values of sample size, statistical power, rate of false positives, rate of false negatives, and replicability, such that overall research payoff is maximized. More specifically, the model shows how the optimal values of these quantities depend upon the size and frequency of true effects within the area, as well as the individual payoffs associated with particular study outcomes. The model is particularly relevant within current discussions of how to optimize the productivity of scientific research, because it shows which aspects of a research area must be considered and how these aspects combine to determine total research payoff. © 2016, © The Author(s) 2016.","false positives; optimizing research payoff; power; replicability; sample size",Article,"Final",Open Access,Scopus,2-s2.0-84989260014
"Cybulski L., Mayo-Wilson E., Grant S.","57193251617;19337781100;55510972800;","Improving transparency and reproducibility through registration: The status of intervention trials published in clinical psychology journals",2016,"Journal of Consulting and Clinical Psychology","84","9",,"753","767",,18,"10.1037/ccp0000115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973502226&doi=10.1037%2fccp0000115&partnerID=40&md5=0b48e3b2fe7f2360ea0d3d1ec053fbdb","Department of Clinical Neuroscience, Karolinska Institutet, Sweden; Center for Clinical Trials and Evidence Synthesis, Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; RAND Corporation, Santa Monica, CA, United States","Cybulski, L., Department of Clinical Neuroscience, Karolinska Institutet, Sweden; Mayo-Wilson, E., Center for Clinical Trials and Evidence Synthesis, Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; Grant, S., RAND Corporation, Santa Monica, CA, United States","Objective: Prospective registration increases the validity of randomized controlled trials (RCTs). In the United States, registration is a legal requirement for drugs and devices regulated by the Food and Drug Administration (FDA), and many biomedical journals refuse to publish trials that are not registered. Trials in clinical psychology have not been subject to these requirements; it is unknown to what extent they are registered. Method: We searched the 25 highest-impact clinical psychology journals that published at least 1 RCT of a health-related psychological intervention in 2013. For included trials, we evaluated their registration status (prospective, retrospective, not registered) and the completeness of their outcome definitions. Results: We identified 163 articles that reported 165 RCTs; 73 (44%) RCTs were registered, of which only 25 (15%) were registered prospectively. Of registered RCTs, only 42 (58%) indicated their registration status in the publication. Only 2 (1% of all trials) were registered prospectively and defined their primary outcomes completely. For the primary outcome(s), 72 (99%) of all registrations defined the domain, 67 (92%) the time frame, and 48 (66%) the specific measurements. Only 19 (26%) and 5 (7%) defined the specific metric and method of aggregation, respectively, for all primary outcomes. Conclusions: Very few reports of RCTs published in clinical psychology journals were registered prospectively and completely. Clinical psychology journals could improve transparency and reproducibility, as well as reduce bias, by requiring complete prospective trial registration for publication and by including trial registration numbers in all reports of RCTs. © 2016 American Psychological Association.","intervention research; randomized controlled trials; reporting bias; reporting guidelines; trial registration",Article,"Final",,Scopus,2-s2.0-84973502226
"Bargh M.S., Choenni S., Meijer R.F.","57190251145;6603393078;54393487600;","Integrating semi-open data in a criminal judicial setting",2016,"Achieving Open Justice through Citizen Participation and Transparency",,,,"137","156",,1,"10.4018/978-1-5225-0717-8.ch007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013168459&doi=10.4018%2f978-1-5225-0717-8.ch007&partnerID=40&md5=5e0587005cf356dbd10d28042c76a43a","Research and Documentation Centre (WODC), Ministry of Security and Justice, Netherlands; Research Centre Creating 010, Rotterdam University of Applied Sciences, Rotterdam, Netherlands","Bargh, M.S., Research and Documentation Centre (WODC), Ministry of Security and Justice, Netherlands; Choenni, S., Research and Documentation Centre (WODC), Ministry of Security and Justice, Netherlands, Research Centre Creating 010, Rotterdam University of Applied Sciences, Rotterdam, Netherlands; Meijer, R.F., Research and Documentation Centre (WODC), Ministry of Security and Justice, Netherlands","Judiciary systems comprise various partner organizations (e.g., police, public prosecutor, courts, and rehabilitation centres) that collaboratively resolve criminal cases. These partner organizations have their own data administration and management systems, which are setup/operated separately and integrated barely. This chapter explains the approach of the authors' organization for integrating the data sets of the Dutch judiciary systems, and for opening the data integration outcomes to the public and/ or to specific groups. These outcomes (e.g., data sets and reports) are meant to provide useful insights into (the performances of) the partner organizations individually and collectively. Such data opening efforts do not comply with all Open Data requirements, mainly due to the quality, (privacy) sensitivity and interoperability issues of the raw data. Nevertheless, since these initiatives aim at delivering some benefits of Open Data, the chapter introduces the new paradigm of Semi-Open Data for acknowledging such data opening initiatives. © 2017, IGI Global.",,Book Chapter,"Final",,Scopus,2-s2.0-85013168459
"Mathur M.B., Epel E., Kind S., Desai M., Parks C.G., Sandler D.P., Khazeni N.","56370881100;35416705700;56708357500;22633366200;7102975854;35466461300;23985235000;","Toward a mechanistic understanding of psychosocial factors in telomere degradation",2016,"Brain, Behavior, and Immunity","56",,,"413","",,,"10.1016/j.bbi.2016.04.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964615124&doi=10.1016%2fj.bbi.2016.04.011&partnerID=40&md5=9557a38b816c17015c810ce658c0986a","Quantitative Sciences Unit, Stanford University, Palo Alto, CA, United States; Department of Biostatistics, Harvard University, Boston, MA, United States; Department of Psychiatry, University of California, San Francisco, CA, United States; Department of Psychology, Suffolk University, Boston, MA, United States; Epidemiology Branch, National Institute of Environmental Health Sciences, NIH, Research Triangle Park, NC, United States; Division of Pulmonary and Critical Care Medicine, Stanford University, Stanford, CA, United States; Center for Health Policy and Center for Primary Care and Outcomes Research, Stanford University, Stanford, CA, United States","Mathur, M.B., Quantitative Sciences Unit, Stanford University, Palo Alto, CA, United States; Epel, E., Department of Biostatistics, Harvard University, Boston, MA, United States; Kind, S., Department of Psychiatry, University of California, San Francisco, CA, United States; Desai, M., Department of Psychology, Suffolk University, Boston, MA, United States; Parks, C.G., Quantitative Sciences Unit, Stanford University, Palo Alto, CA, United States; Sandler, D.P., Epidemiology Branch, National Institute of Environmental Health Sciences, NIH, Research Triangle Park, NC, United States; Khazeni, N., Division of Pulmonary and Critical Care Medicine, Stanford University, Stanford, CA, United States, Center for Health Policy and Center for Primary Care and Outcomes Research, Stanford University, Stanford, CA, United States",[No abstract available],,Letter,"Final",,Scopus,2-s2.0-84964615124
"Voytek B.","9332417700;","The Virtuous Cycle of a Data Ecosystem",2016,"PLoS Computational Biology","12","8", e1005037,"","",6,5,"10.1371/journal.pcbi.1005037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988953317&doi=10.1371%2fjournal.pcbi.1005037&partnerID=40&md5=47234852db68df65d631a515b2294d9e","Department of Cognitive Science, Neurosciences Graduate Program, Institute for Neural Computation, Kavli Institute for Brain and Mind, University of California, San Diego, CA, United States","Voytek, B., Department of Cognitive Science, Neurosciences Graduate Program, Institute for Neural Computation, Kavli Institute for Brain and Mind, University of California, San Diego, CA, United States",[No abstract available],,Article,"Final",Open Access,Scopus,2-s2.0-84988953317
"Smith D.V., Gseir M., Speer M.E., Delgado M.R.","55722967200;57189027049;56450373500;57197830937;","Toward a cumulative science of functional integration: A meta-analysis of psychophysiological interactions",2016,"Human Brain Mapping","37","8",,"2904","2917",,15,"10.1002/hbm.23216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978863275&doi=10.1002%2fhbm.23216&partnerID=40&md5=3873ceee6a4cc6219dfd5380683ebef9","Department of Psychology, Rutgers University, Newark, NJ, United States","Smith, D.V., Department of Psychology, Rutgers University, Newark, NJ, United States; Gseir, M., Department of Psychology, Rutgers University, Newark, NJ, United States; Speer, M.E., Department of Psychology, Rutgers University, Newark, NJ, United States; Delgado, M.R., Department of Psychology, Rutgers University, Newark, NJ, United States","Much of the work in cognitive neuroscience is shifting from a focus on single brain regions to a focus on the connectivity between multiple brain regions. These inter-regional connectivity patterns contribute to a wide range of behaviors and are studied with models of functional integration. The rapid expansion of the literature on functional integration offers an opportunity to scrutinize the consistency and specificity of one of the most popular approaches for quantifying connectivity: psychophysiological interaction (PPI) analysis. We performed coordinate-based meta-analyses on 284 PPI studies, which allowed us to test (a) whether those studies consistently converge on similar target regions and (b) whether the identified target regions are specific to the chosen seed region and psychological context. Our analyses revealed two key results. First, we found that different types of PPI studies—e.g., those using seeds such as amygdala and dorsolateral prefrontal cortex (DLPFC) and contexts such as emotion and cognitive control, respectively—each consistently converge on similar target regions, thus supporting the reliability of PPI as a tool for studying functional integration. Second, we also found target regions that were specific to the chosen seed region and psychological context, indicating distinct patterns of brain connectivity. For example, the DLPFC seed reliably contributed to a posterior cingulate cortex target during cognitive control but contributed to an amygdala target in other contexts. Our results point to the robustness of PPI while highlighting common and distinct patterns of functional integration, potentially advancing models of brain connectivity. Hum Brain Mapp 37:2904–2917, 2016. © 2016 Wiley Periodicals, Inc. © 2016 Wiley Periodicals, Inc.","brain connectivity; CBMA; coordinate-based meta-analysis; coupling; effective connectivity; fMRI",Article,"Final",,Scopus,2-s2.0-84978863275
"Bond-Lamberty B., Smith A.P., Bailey V.","6602729986;57192318906;57205849412;","Running an open experiment: Transparency and reproducibility in soil and ecosystem science",2016,"Environmental Research Letters","11","8", 084004,"","",,4,"10.1088/1748-9326/11/8/084004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985911808&doi=10.1088%2f1748-9326%2f11%2f8%2f084004&partnerID=40&md5=d279ecffd789592aa0e6bf44ebffaafa","Joint Global Change Research Institute, DOE Pacific Northwest National Laboratory, College Park, MD, United States; Biological Sciences Division, Pacific Northwest National Laboratory, Richland, WA, United States","Bond-Lamberty, B., Joint Global Change Research Institute, DOE Pacific Northwest National Laboratory, College Park, MD, United States; Smith, A.P., Biological Sciences Division, Pacific Northwest National Laboratory, Richland, WA, United States; Bailey, V., Biological Sciences Division, Pacific Northwest National Laboratory, Richland, WA, United States","Researchers in soil and ecosystem science, and almost every other field, are being pushed - by funders, journals, governments, and their peers - to increase transparency and reproducibility of their work. A key part of this effort is a move towards open data as a way to fight post-publication data loss, improve data and code quality, enable powerful meta- and cross-disciplinary analyses, and increase trust in, and the efficiency of, publicly-funded research. Many scientists however lack experience in, and may be unsure of the benefits of, making their data and fully-reproducible analyses publicly available. Here we describe a recent 'open experiment', in which we documented every aspect of a soil incubation online, making all raw data, scripts, diagnostics, final analyses, and manuscripts available in real time. We found that using tools such as version control, issue tracking, and open-source statistical software improved data integrity, accelerated our team's communication and productivity, and ensured transparency. There are many avenues to improve scientific reproducibility and data availability, of which is this only one example, and it is not an approach suited for every experiment or situation. Nonetheless, we encourage the communities in our respective fields to consider its advantages, and to lead rather than follow with respect to scientific reproducibility, transparency, and data availability. © 2016 IOP Publishing Ltd.","open data; open science; reproducible research; soil science",Article,"Final",Open Access,Scopus,2-s2.0-84985911808
"Rios F.","56874754800;","The pathways of research software preservation: An educational and planning resource for service development",2016,"D-Lib Magazine","22","7-8",,"","",1,1,"10.1045/july2016-rios","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981165735&doi=10.1045%2fjuly2016-rios&partnerID=40&md5=9fba4229bb46449b75503c9346938e6c","Data Management Services, The Sheridan Libraries, Johns Hopkins University, United States","Rios, F., Data Management Services, The Sheridan Libraries, Johns Hopkins University, United States","Research communities, funders, publishers, and academic libraries have put much effort towards ensuring that research data are preserved. However, the same level of attention has not been given to the associated software used to process and analyze it. As a guide to those tasked with preserving research outputs, a novel visual representation of preservation approaches relevant to research software, termed the Pathways of Research Software Preservation, is presented. The Pathways are discussed in the context of service development within the Data Management Services group at Johns Hopkins University. © 2016 Fernando Rios.",,Article,"Final",,Scopus,2-s2.0-84981165735
"Lin W., Green D.P.","56389933400;7404385954;","Standard Operating Procedures: A Safety Net for Pre-Analysis Plans",2016,"PS - Political Science and Politics","49","3",,"495","499",,8,"10.1017/S1049096516000810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978670432&doi=10.1017%2fS1049096516000810&partnerID=40&md5=ca05eb5f99d59d1248880157791e7511","Columbia University, United States","Lin, W., Columbia University, United States; Green, D.P., Columbia University, United States","Across the social sciences, growing concerns about research transparency have led to calls for pre-analysis plans (PAPs) that specify in advance how researchers intend to analyze the data they are about to gather. PAPs promote transparency and credibility by helping readers distinguish between exploratory and confirmatory analyses. However, PAPs are time-consuming to write and may fail to anticipate contingencies that arise in the course of data collection. This article proposes the use of standard operating procedures (SOPs) - default practices to guide decisions when issues arise that were not anticipated in the PAP. We offer an example of an SOP that can be adapted by other researchers seeking a safety net to support their PAPs. © American Political Science Association 2016.",,Article,"Final",,Scopus,2-s2.0-84978670432
[No author name available],[No author id available],"Responding to change in a challenging climate: 2015 five-year report of the Policy and Planning Board",2016,"American Psychologist","71","5",,"415","426",,1,"10.1037/amp0000016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989360038&doi=10.1037%2famp0000016&partnerID=40&md5=cbd6f6048a4263e2047ba6ce9a69e279",,"","The American Psychological Association (APA) Bylaws Article XI.7 (http://www.apa.org/ about/governance/bylaws/article-11.aspx) requires that the Policy and Planning Board report annually by publication to the membership and review the structure and function of the association as a whole every fifth year. This report details the board's 5-year review, including APA's challenges and achievements from 2011 through 2015 within the context of broader social and environmental changes. Recommended priorities for future change are offered. © 2016 American Psychological Association.",,Article,"Final",,Scopus,2-s2.0-84989360038
"Coyne M.D., Cook B.G., Therrien W.J.","7006348548;7201498365;24559601800;","Recommendations for Replication Research in Special Education: A Framework of Systematic, Conceptual Replications",2016,"Remedial and Special Education","37","4",,"244","253",,25,"10.1177/0741932516648463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977534144&doi=10.1177%2f0741932516648463&partnerID=40&md5=4d386ece53d00f8afd836d15788c3480","University of Connecticut, Storrs, United States; University of Hawaii, Honolulu, United States; University of Virginia, Charlottesville, United States","Coyne, M.D., University of Connecticut, Storrs, United States; Cook, B.G., University of Hawaii, Honolulu, United States; Therrien, W.J., University of Virginia, Charlottesville, United States","Special education researchers conduct studies that can be considered replications. However, they do not often refer to them as replication studies. The purpose of this article is to consider the potential benefits of conceptualizing special education intervention research within a framework of systematic, conceptual replication. Specifically, we advocate for the value and importance of replication research that includes both closely aligned and distal conceptual replications. We acknowledge the challenges associated with conducting replications in applied school-based research and also provide recommendations for how to design, conduct, and report replication studies in special education research with the goal of supporting the identification of effective practices for individuals with disabilities. © Hammill Institute on Disabilities 2016.","replication; research design; special education",Article,"Final",,Scopus,2-s2.0-84977534144
"Ulrich R., Erdfelder E., Deutsch R., Strauß B., Brüggemann A., Hannover B., Tuschen-Caffier B., Kirschbaum C., Blickle G., Möller J., Rief W.","7201561857;6603843843;56406994600;55455767700;36936500700;6701850727;6602689650;36349691000;55902973200;57202673395;7006506948;","Inflationary Incidence of False-Positive Results in Psychological Research [Inflation von falsch-positiven Befunden in der psychologischen Forschung: Mögliche Ursachen und Gegenmaßnahmen]",2016,"Psychologische Rundschau","67","3",,"163","174",,9,"10.1026/0033-3042/a000296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978767415&doi=10.1026%2f0033-3042%2fa000296&partnerID=40&md5=e84f14fbb4bca3e8179b1a476206cf6e","Fachbereich Psychologie, Universität Tübingen, Schleichstr. 4, Tübingen, 72076, Germany","Ulrich, R., Fachbereich Psychologie, Universität Tübingen, Schleichstr. 4, Tübingen, 72076, Germany; Erdfelder, E.; Deutsch, R.; Strauß, B.; Brüggemann, A.; Hannover, B.; Tuschen-Caffier, B.; Kirschbaum, C.; Blickle, G.; Möller, J.; Rief, W.","There is growing concern that many studies reported in scientific publications report false-positive results, which means that the research literature reflects a distorted view of reality. The Psychology Review Board of the German Research Foundation has addreßed this problem and discußed the poßible sources of false-positive results. This article conveys the contents of these discußions and challenges applicants to consider this problem in funding proposals. We also call upon applicants, reviewers, and editors to take into consideration the value of negative results and replication studies in both funding proposals and scientific publications, including clinical studies. © 2016 Hogrefe Verlag.","Clinical Studies; DFG Research Funding; Direct And Conceptual Replications; Ethics Of Science; False Positives; Importance Of Negative Results; Journal Policy; Psychology Review Board Of The German Research Foundation (DFG); Questionable Research Practices; Replicability; Replication Crisis",Article,"Final",,Scopus,2-s2.0-84978767415
"Cook B.G., Collins L.W., Cook S.C., Cook L.","7201498365;57190028457;55785982700;25633558300;","A Replication by Any Other Name: A Systematic Review of Replicative Intervention Studies",2016,"Remedial and Special Education","37","4",,"223","234",,16,"10.1177/0741932516637198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977480383&doi=10.1177%2f0741932516637198&partnerID=40&md5=fabe21b83fb5142cfda8c5883c0a461f","University of Hawaii, Honolulu, United States","Cook, B.G., University of Hawaii, Honolulu, United States; Collins, L.W., University of Hawaii, Honolulu, United States; Cook, S.C., University of Hawaii, Honolulu, United States; Cook, L., University of Hawaii, Honolulu, United States","Replication research is essential to scientific knowledge. Reviews of replication studies often electronically search for replicat* as a textword, which does not identify studies that replicate previous research but do not self-identify as such. We examined whether the 83 intervention studies published in six non-categorical research journals in special education in 2013 and 2014 might be considered replications regardless of using the term replicat* by applying criteria related to (a) the stated purpose of the study and (b) comparing the findings of the study with the results of previous studies. We coded 26 intervention studies as replications. Authors of 17 of these studies reported that their findings solely agreed with the results of the original study(ies). Author overlap occurred for half of the replicative studies. The likelihood of findings being reproduced did not vary as a function of author overlap. We discuss implications and recommendations based on these findings. © Hammill Institute on Disabilities 2016.","evidence-based practice; quantitative; research methodology; single subject",Article,"Final",,Scopus,2-s2.0-84977480383
"Czoty P.W., Stoops W.W., Rush C.R.","6603661050;6603049193;7101969531;","Evaluation of the “pipeline” for development of medications for cocaine use disorder: A review of translational preclinical, human laboratory, and clinical trial research",2016,"Pharmacological Reviews","68","3",,"533","562",,39,"10.1124/pr.115.011668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968627063&doi=10.1124%2fpr.115.011668&partnerID=40&md5=017b9024ef420844144e036c5b854768","Wake Forest School of Medicine, Winston-Salem, NC, United States; University of Kentucky, Lexington, KY, United States","Czoty, P.W., Wake Forest School of Medicine, Winston-Salem, NC, United States; Stoops, W.W., University of Kentucky, Lexington, KY, United States; Rush, C.R., University of Kentucky, Lexington, KY, United States","Cocaine use disorder is a persistent public health problem for which no widely effective medications exist. Self-administration procedures,which have shown good predictive validity in estimating the abuse potential of drugs, have been used in rodent, nonhuman primate, and human laboratory studies to screen putative medications. This review assessed the effectiveness of the medications development process regarding pharmacotherapies for cocaine use disorder. The primary objective was to determine whether data from animal and human laboratory self-administration studies predicted the results of clinical trials. Inaddition, the concordance between laboratory studies in animals and humans was assessed. More than 100 blinded, randomized, fully placebo-controlled studies of putative medications for cocaine use disorder were identified. Of the 64 drugs tested in these trials, only 10 had been examined in both human and well-controlled animal laboratory studies. Within all three stages, few studies had been conducted for each drug and when multiple studies had been conducted conclusions were sometimes contradictory. Overall, however, there was good concordance between animal and human laboratory results when the former assessed chronic drug treatment. Although only seven of the ten reviewed drugs showed fully concordant results across all three types of studies reviewed, the analysis revealed several subject-related, procedural, and environmental factors that differ between the laboratory and clinical trial settings that help explain the disagreement for other drugs. The review closes with several recommendations to enhance translation and communication across stages of the medications development process that will ultimately speed the progress toward effective pharmacotherapeutic strategies for cocaine use disorder. © 2016 by The American Society for Pharmacology and Experimental Therapeutics.",,Review,"Final",Open Access,Scopus,2-s2.0-84968627063
"Rosen R.A., Guenther E.","7202895179;23488964100;","The energy policy relevance of the 2014 IPCC Working Group III report on the macro-economics of mitigating climate change",2016,"Energy Policy","93",,,"330","334",,3,"10.1016/j.enpol.2016.03.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961751160&doi=10.1016%2fj.enpol.2016.03.025&partnerID=40&md5=bb90c0fa2fe1f2c1336e6f1667672f8a","20 Marshal St., Brookline, MA  02446, United States; TU Dresden, Dresden, Germany","Rosen, R.A., 20 Marshal St., Brookline, MA  02446, United States; Guenther, E., TU Dresden, Dresden, Germany","Research which attempted to determine the macroeconomic importance of mitigating climate change through 2100 was presented primarily in Chapter 6 of the 2014 IPCC Working Group III report. Some of the findings of this chapter were then summarized in the Summary for Policy Makers (SPMs) of both the Synthesis Report, and the WGIII report. Unfortunately, these SPMs omitted key aspects of what the overall macroeconomic results for the costs and benefits of mitigating climate change actually did and did not include, how they were produced, and a careful assessment of their uncertainty and scientific validity. Yet, many of the major omissions were acknowledged deep in the text of Chapter 6, but were not revealed to the public. We conclude, therefore, that neither of these SPMs was useful for energy policy makers and energy managers, and they were misleading due to their many key omissions. Finally, we recommend several improvements that can be made to integrated assessment modeling methodologies so that the macroeconomic analysis of mitigating climate change resulting from the use of such models can be more relevant and useful to energy policy makers in the future, and can be communicated to them better. © 2016 Elsevier Ltd.","Climate change; Cost/benefit analysis; Energy policy; IPCC WGIII Report; Macroeconomics; Mitigation",Article,"Final",,Scopus,2-s2.0-84961751160
"Dienes Z.","55589408900;","How Bayes factors change scientific practice",2016,"Journal of Mathematical Psychology","72",,,"78","89",,73,"10.1016/j.jmp.2015.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953311076&doi=10.1016%2fj.jmp.2015.10.003&partnerID=40&md5=dce57c72761e22ef593f8c36a647ea1d","School of Psychology, University of Sussex, Brighton, BN1 9QH, United Kingdom; Sackler Centre for Consciousness Science, University of Sussex, United Kingdom","Dienes, Z., School of Psychology, University of Sussex, Brighton, BN1 9QH, United Kingdom, Sackler Centre for Consciousness Science, University of Sussex, United Kingdom","Bayes factors provide a symmetrical measure of evidence for one model versus another (e.g. H1 versus H0) in order to relate theory to data. These properties help solve some (but not all) of the problems underlying the credibility crisis in psychology. The symmetry of the measure of evidence means that there can be evidence for H0 just as much as for H1; or the Bayes factor may indicate insufficient evidence either way. P-values cannot make this three-way distinction. Thus, Bayes factors indicate when the data count against a theory (and when they count for nothing); and thus they indicate when replications actually support H0 or H1 (in ways that power cannot). There is every reason to publish evidence supporting the null as going against it, because the evidence can be measured to be just as strong either way (thus the published record can be more balanced). Bayes factors can be B-hacked but they mitigate the problem because a) they allow evidence in either direction so people will be less tempted to hack in just one direction; b) as a measure of evidence they are insensitive to the stopping rule; c) families of tests cannot be arbitrarily defined; and d) falsely implying a contrast is planned rather than post hoc becomes irrelevant (though the value of pre-registration is not mitigated). © 2015 Elsevier Inc.","Bayes factor; Confidence interval; Multiple comparisons; Null hypothesis; Planned vs post hoc; Stopping rule",Article,"Final",,Scopus,2-s2.0-84953311076
